#	date	

22:53:34.972960		MAIN	INFO	SCENARIO	FILENAME	scenario_demo.txt
22:53:42.361002		TRACK	STATE	CURSOR	X	-0.01699901424391121
22:53:42.361002		TRACK	STATE	CURSOR	Y	-0.014852990041542226
22:53:42.380977		TRACK	STATE	CURSOR	X	-0.017406815263404367
22:53:42.380977		TRACK	STATE	CURSOR	Y	-0.01604935792623778
22:53:42.401302		TRACK	STATE	CURSOR	X	-0.01779240677891189
22:53:42.401302		TRACK	STATE	CURSOR	Y	-0.017173909381938524
22:53:42.421682		TRACK	STATE	CURSOR	X	-0.0181751711395789
22:53:42.421682		TRACK	STATE	CURSOR	Y	-0.018283775583977813
22:53:42.441723		TRACK	STATE	CURSOR	X	-0.018573918017092655
22:53:42.442723		TRACK	STATE	CURSOR	Y	-0.019433116576422146
22:53:42.462570		TRACK	STATE	CURSOR	X	-0.01895056377006179
22:53:42.462570		TRACK	STATE	CURSOR	Y	-0.010512270474645933
22:53:42.482570		TRACK	STATE	CURSOR	X	-0.019324067022563722
22:53:42.482570		TRACK	STATE	CURSOR	Y	-0.011576151333613985
22:53:42.502692		TRACK	STATE	CURSOR	X	-0.019694324130292234
22:53:42.502692		TRACK	STATE	CURSOR	Y	-0.012624571338548283
22:53:42.522695		TRACK	STATE	CURSOR	X	-0.010061231349133845
22:53:42.522695		TRACK	STATE	CURSOR	Y	-0.013657345146439065
22:53:42.542888		TRACK	STATE	CURSOR	X	-0.010424684849955604
22:53:42.542888		TRACK	STATE	CURSOR	Y	-0.014674289915855837
22:53:42.563178		TRACK	STATE	CURSOR	X	-0.010802480275661929
22:53:42.563178		TRACK	STATE	CURSOR	Y	-0.01572484866263369
22:53:42.583744		TRACK	STATE	CURSOR	X	-0.011158528778946132
22:53:42.583744		TRACK	STATE	CURSOR	Y	-0.016708783009381507
22:53:42.603849		TRACK	STATE	CURSOR	X	-0.011510806514612908
22:53:42.603849		TRACK	STATE	CURSOR	Y	-0.017676346405774736
22:53:42.623565		TRACK	STATE	CURSOR	X	-0.011876526029275367
22:53:42.624567		TRACK	STATE	CURSOR	Y	-0.01867448012077099
22:53:42.644031		TRACK	STATE	CURSOR	X	-0.012220748483788959
22:53:42.645027		TRACK	STATE	CURSOR	Y	-0.019607946959163285
22:53:42.665119		TRACK	STATE	CURSOR	X	-0.012577780434548854
